area_id,sex,agegr_id,indicator,time,mean,se,median,lower,upper
MWI,male,17,incidence,2016.25,0.005335606761193,0.000261052326162,0.005334817801637,0.004842826075045,0.005851945834895
MWI,male,18,incidence,2016.25,0.004453021121208,0.000216877749398,0.004453166348935,0.004042900485555,0.004884392155047
MWI,male,19,incidence,2016.25,0.003344253888631,0.000161987124061,0.003342654039633,0.00303826053743,0.003665743723043
MWI,male,20,incidence,2016.25,0.002433042161365,0.000118043595619,0.002429397558784,0.002207898252748,0.002666323527967
MWI,male,29,incidence,2016.25,0.001133910110243,5.55619899278701E-05,0.001133039964914,0.001028178832261,0.001245087520481
MWI,female,14,incidence,2016.25,0.00574694552179,0.000275173700749,0.005741249501184,0.005218483961859,0.006297985474886
MWI,female,15,incidence,2016.25,0.007603360502119,0.000360337420906,0.007596207580431,0.006915871495767,0.008308973699868
MWI,female,16,incidence,2016.25,0.007318355718069,0.000346005116455,0.007311726018349,0.006659162113657,0.008000287406182
MWI,female,17,incidence,2016.25,0.006180640160325,0.000289068925433,0.006176320775555,0.005631295607218,0.006756598735612
MWI,female,18,incidence,2016.25,0.004789921581657,0.000224376090362,0.004784910147119,0.004362997444431,0.005243816982321
MWI,female,19,incidence,2016.25,0.003599825238104,0.000172561598771,0.00359359949361,0.003269896725018,0.003949197708878
MWI,female,20,incidence,2016.25,0.002812995115041,0.000137318103112,0.002808979776316,0.002553742640306,0.003088410413226
MWI,female,29,incidence,2016.25,0.001464429363952,7.38431442360412E-05,0.001462433784522,0.001323926907045,0.001612964142641
MWI,male,11,population,2018.75,1468878.8127,NA,1468878.8127,1468878.8127,1468878.8127
MWI,male,12,population,2018.75,1318520.7189,NA,1318520.7189,1318520.7189,1318520.7189
MWI,male,13,population,2018.75,1171919.3439,NA,1171919.3439,1171919.3439,1171919.3439
MWI,female,11,population,2018.75,1436883.0001,NA,1436883.0001,1436883.0001,1436883.0001
MWI,female,12,population,2018.75,1294180.9376,NA,1294180.9376,1294180.9376,1294180.9376
MWI,female,13,population,2018.75,1160674.3595,NA,1160674.3595,1160674.3595,1160674.3595
MWI,male,14,population,2018.75,979900.71509668,NA,979900.71509668,979900.71509668,979900.71509668
MWI,male,15,population,2018.75,801567.540474298,NA,801567.540474298,801567.540474298,801567.540474298
MWI,male,16,population,2018.75,657073.011029293,NA,657073.011029293,657073.011029293,657073.011029293
MWI,male,17,population,2018.75,535557.724517176,NA,535557.724517176,535557.724517176,535557.724517176
MWI,male,18,population,2018.75,434975.500767993,NA,434975.500767993,434975.500767993,434975.500767993
MWI,male,19,population,2018.75,349131.969306078,NA,349131.969306078,349131.969306078,349131.969306078
MWI,male,20,population,2018.75,275594.969520443,NA,275594.969520443,275594.969520443,275594.969520443
MWI,male,29,population,2018.75,715761.316405125,NA,715761.316405125,715761.316405125,715761.316405125
MWI,female,14,population,2018.75,1026759.18916098,NA,1026759.18916098,1026759.18916098,1026759.18916098
MWI,female,15,population,2018.75,847526.427798682,NA,847526.427798682,847526.427798682,847526.427798682
MWI,female,16,population,2018.75,700898.672330507,NA,700898.672330507,700898.672330507,700898.672330507
MWI,female,17,population,2018.75,586793.080857158,NA,586793.080857158,586793.080857158,586793.080857158
MWI,female,18,population,2018.75,482058.080209014,NA,482058.080209014,482058.080209014,482058.080209014
MWI,female,19,population,2018.75,384827.172708083,NA,384827.172708083,384827.172708083,384827.172708083
MWI,female,20,population,2018.75,307328.848966728,NA,307328.848966728,307328.848966728,307328.848966728
MWI,female,29,population,2018.75,842344.292963075,NA,842344.292963075,842344.292963075,842344.292963075
MWI,male,11,plhiv,2018.75,8222.69838433486,183.608545078152,8215.78601725536,7878.50106145061,8594.26248009931
MWI,male,12,plhiv,2018.75,13032.2833705221,290.643922334312,13021.1007785793,12486.2475129067,13618.5950918439
MWI,male,13,plhiv,2018.75,18050.4922304203,403.236917329428,18036.1462455865,17295.8070359604,18865.0672698156
MWI,female,11,plhiv,2018.75,8034.69755668863,179.33896830068,8028.1142285963,7698.02503455482,8397.17391790905
MWI,female,12,plhiv,2018.75,12788.0096187843,284.97284171421,12776.9743125426,12251.526559955,13363.1582004362
MWI,female,13,plhiv,2018.75,17932.5272254524,400.069287490437,17919.5183968385,17180.555689785,18740.3664047296
MWI,male,14,plhiv,2018.75,11477.0631833606,968.114682851649,11403.6655731379,9760.18162976793,13523.8574184857
MWI,male,15,plhiv,2018.75,17547.1590230162,1432.51547665355,17459.4615791419,14962.1978289069,20508.7540971896
MWI,male,16,plhiv,2018.75,31110.2769722407,2147.47758556074,31078.2343939956,27174.5260780539,35410.8733110215
MWI,male,17,plhiv,2018.75,50140.5186572963,2819.30173711018,50113.315732376,44853.5943839781,55766.8846466655
MWI,male,18,plhiv,2018.75,56656.4566200447,2927.38405303807,56655.2901891264,51069.6259876732,62545.6437490859
MWI,male,19,plhiv,2018.75,54100.7228870227,2814.10717851174,53997.0846528145,48828.259794588,59653.8932850025
MWI,male,20,plhiv,2018.75,51003.1679360546,2727.41255007645,50986.0504919403,45721.005811115,56286.0755417779
MWI,male,29,plhiv,2018.75,96230.4865501251,5926.57978345229,96110.0769472163,85307.7427781506,108403.435077108
MWI,female,14,plhiv,2018.75,29832.3886145881,1538.23325398183,29797.0334851847,27004.985049033,32940.6442165536
